,Unnamed: 0,가게이름,카테고리,위치,평점,리뷰수,위도,경도
0,0,진미평양냉면,냉면,서울 강남구 학동로 305-3 정각빌딩 1층,3.6,900,37.5161072,127.0360301
1,1,리북집 논현직영점,족발 | 보쌈,서울 강남구 학동로2길 45 1층,3.7,244,37.5086695,127.0235753
2,2,대가방 본점,중국요리,서울 강남구 선릉로145길 13 럭스웨이빌딩 1층,3.4,159,37.5211149,127.0385258
3,3,한성칼국수,한식,서울 강남구 언주로148길 14 청호상가빌딩 가동 2층,3.8,135,37.5202946,127.0359457
4,4,일일향 2호점,중국요리,서울 강남구 봉은사로 167,3.3,36,37.5072082,127.0322447
5,5,세종한우 학동역점,육류 | 고기,서울 강남구 학동로 219,3.5,44,37.51496059999999,127.0331072
6,6,유정식당,한식,서울 강남구 도산대로28길 14,3.7,75,37.518326,127.0280524
7,7,홍명,중식,서울 강남구 논현로131길 10 1층,3.4,138,37.51449,127.0294426
8,8,삼육가 논현직영점,육류 | 고기,서울 강남구 강남대로114길 8 지하1층 1층,3.6,34,37.5056529,127.0250046
9,9,크래버대게나라 강남점,게 | 대게,서울 강남구 언주로 620 현대인텔렉스빌딩 1층,4.1,209,37.5115897,127.0362884
10,10,해몽,육류 | 고기,서울 강남구 학동로41길 32,4.1,218,37.5180734,127.0363645
11,11,스시코우지,초밥 | 롤,서울 강남구 도산대로 318 어넥스 B동 3층,4.4,156,37.5219756,127.0363404
12,12,영동장어,장어,서울 강남구 언주로148길 8 1층,4.5,164,37.5202787,127.0353237
13,13,세광양대창 논현점,곱창 | 막창,서울 강남구 강남대로118길 12 부경빌딩 1층,4.0,209,37.5062573,127.024766
14,14,맛짱조개,조개,서울 강남구 언주로136길 10 1층,4.1,389,37.5171236,127.0363553
15,15,취영루 논현점,중국요리,서울 강남구 학동로2길 11,3.0,23,37.5105033,127.0227257
16,16,달맞이,일식,서울 강남구 강남대로128길 10,4.0,218,37.5097195,127.0230639
17,17,평양면옥,냉면,서울 강남구 논현로150길 6,3.1,96,37.5189036,127.0291479
18,18,현우동,돈까스 | 우동,서울 강남구 논현로149길 53 래성빌딩 101호,3.6,353,37.5169894,127.0242927
19,19,마켓오 압구정점,양식,서울 강남구 도산대로 310 2층,4.0,90,37.5214918,127.0354608
20,20,카페써드,커피전문점,서울 강남구 선릉로131길 11 1층,3.9,62,37.5173618,127.0398296
21,21,한우리 본점,육류 | 고기,서울 강남구 도산대로 304,2.8,57,37.5211001,127.0347283
22,22,홈수끼 학동점,샤브샤브,서울 강남구 언주로 708 경원빌딩 1층,3.1,332,37.5162461,127.0357071
23,23,논현손칼국수,국수,서울 강남구 논현로111길 16 1층,3.8,114,37.5075674,127.032205
24,24,영동원삼겹살,삼겹살,서울 강남구 강남대로 520,4.1,90,37.5085698,127.0230676
25,25,인량 훠궈,중식,서울 강남구 강남대로140길 9 비피유빌딩 지하1층,4.1,187,37.5140633,127.0211907
26,26,김수사,초밥 | 롤,서울 강남구 도산대로 132 1층,0.0,151,37.5171309,127.0232083
27,27,우정양곱창,곱창 | 막창,서울 강남구 도산대로30길 23 1층,3.9,165,37.518396,127.0300945
28,28,함지곱창전문,곱창 | 막창,서울 강남구 학동로2길 33,3.7,194,37.5092372,127.0232523
29,29,진전복삼계탕,삼계탕,서울 강남구 선릉로129길 21 1층,4.2,331,37.51581669999999,127.0397408
30,30,맷카페,카페,서울 강남구 학동로50길 42 1층,4.0,169,37.5139316,127.0406178
31,31,가람국시 논현동점,국수,서울 강남구 언주로135길 13,3.8,40,37.5167545,127.0340806
32,32,송포갈비 논현본점,갈비,서울 강남구 강남대로114길 23 1층 102호,4.4,29,37.5062414,127.0261144
33,33,이자카야나무 논현점,일본식주점,서울 강남구 봉은사로1길 40,3.9,38,37.5073173,127.0241539
34,34,개성집,삼겹살,서울 강남구 봉은사로1길 6,2.6,64,37.5052205,127.0252342
35,35,영동삼미숯불갈비,갈비,서울 강남구 학동로2길 30,3.7,65,37.50943340000001,127.0229003
36,36,광주육전,호프 | 요리주점,서울 강남구 학동로4길 45 1층,3.5,89,37.5085007,127.0243059
37,37,아카라,일본식주점,서울 강남구 봉은사로43길 14,4.4,53,37.5101803,127.0399249
38,38,갯벌의진주 본점,조개,서울 강남구 학동로2길 55 환희빌딩 2층,3.8,71,37.5080746,127.0238726
